ds,y,,,
18-09-2014,1321.150024,,,
19-09-2014,1357.099976,,,
22-09-2014,1360.900024,,,
23-09-2014,1344.099976,,,
24-09-2014,1321.5,,,
25-09-2014,1354.300049,,,
26-09-2014,1342,,,
29-09-2014,1383.974976,,,
30-09-2014,1368.300049,,,
01-10-2014,1387.800049,,,
07-10-2014,1365.675049,,,
08-10-2014,1341.599976,,,
09-10-2014,1353.025024,,,
10-10-2014,1339.25,,,
13-10-2014,1358.275024,,,
14-10-2014,1349.599976,,,
15-10-2014,1349.599976,,,
16-10-2014,1339.050049,,,
17-10-2014,1220.574951,,,
20-10-2014,1211.650024,,,
21-10-2014,1216.699951,,,
22-10-2014,1225.925049,,,
27-10-2014,1228.574951,,,
28-10-2014,1239.300049,,,
29-10-2014,1253.025024,,,
30-10-2014,1279.099976,,,
31-10-2014,1303.925049,,,
03-11-2014,1295.175049,,,
05-11-2014,1299.75,,,
07-11-2014,1286.425049,,,
10-11-2014,1284.824951,,,
11-11-2014,1290.349976,,,
12-11-2014,1295.875,,,
13-11-2014,1294.224976,,,
14-11-2014,1303.224976,,,
17-11-2014,1309.150024,,,
18-11-2014,1292.925049,,,
19-11-2014,1286.875,,,
20-11-2014,1302.724976,,,
21-11-2014,1311.074951,,,
24-11-2014,1328.849976,,,
25-11-2014,1318,,,
26-11-2014,1313.650024,,,
27-11-2014,1326.650024,,,
28-11-2014,1321.5,,,
01-12-2014,1346.474976,,,
02-12-2014,1328.650024,,,
03-12-2014,1317.675049,,,
04-12-2014,1318.974976,,,
05-12-2014,1289.474976,,,
08-12-2014,1256.400024,,,
09-12-2014,1257.425049,,,
10-12-2014,1253.949951,,,
11-12-2014,1246.074951,,,
12-12-2014,1225.349976,,,
15-12-2014,1179.324951,,,
16-12-2014,1221.525024,,,
17-12-2014,1222.050049,,,
18-12-2014,1230.349976,,,
19-12-2014,1255.275024,,,
22-12-2014,1256.699951,,,
23-12-2014,1258.349976,,,
24-12-2014,1239.949951,,,
26-12-2014,1252.5,,,
